fecha,incendio,lat,lon,elevacion,pendiente,ctc,cdc,ccc,SUSC,dist_vias,dist_vias_prin,tmax,tmean,precip,precip_3d,precip_7d,precip_30d,dias_sin_lluvia,viento_max,radiacion,et0,humedad_min,humedad_media
2014-02-22,0,3.427896407792824,-76.63681562787617,1936.6259765625,23.899158477783203,1.0,3.0,4.0,8.0,281.26819741650326,2371.1140063445755,20.192486807024398,17.267645726321906,6.721396837609769,47.53788056547117,90.82598326767388,374.22681301771087,1.0,6.357206324780464,13.565972167654415,2.539259135752406,76.4573484795952,87.28073053737513
2023-02-06,0,3.3939606281962464,-76.51249055252724,951.1226196289062,1.553383708000183,5.0,1.0,1.0,7.0,31.57499430531032,31.57499430531032,25.33972874379201,20.86848616792786,5.622455877452629,28.106951538526566,50.19061273126637,386.96200781313587,2.8207326701238977,9.06328716637196,22.190762665263442,4.084125438101093,73.37349542090101,84.0542986761034
2021-02-09,0,3.49749739037267,-76.53956348135104,1292.62890625,26.348899841308594,5.0,1.0,2.0,8.0,500.8046430417557,764.6785764090614,23.320232418478227,19.417902092763732,17.014210198036686,34.66629349171344,67.06020319727907,306.1126362315175,0.0,8.430976586488276,14.948385879262704,2.8544308824914246,73.27133770639651,89.5840165787389
2024-12-05,0,3.324293472034185,-76.51159529840308,978.7844848632812,2.9791150093078613,5.0,1.0,2.0,8.0,482.0382795238096,768.9746814051693,26.34169577464506,21.29713882010071,29.663935855864956,78.5944711920483,140.13287592775967,449.27491027114326,0.056338011496678005,7.766330326260073,19.12713520593353,3.634642869768314,65.30711663596543,89.03928987091274
2017-01-24,0,3.3014090315743925,-76.56759556215277,1016.5390625,12.691855430603027,1.0,3.0,4.0,8.0,250.82884564205762,2650.842593729322,23.990098337320365,20.99046868461144,1.7230496080199666,3.3234369149733527,119.3507955671373,599.4093661523707,3.319478490864477,11.226307559280665,23.187373484591756,3.995792173543261,61.96835255365041,74.42763512920816
2020-10-19,0,3.4143898027973747,-76.46987241748143,950.0916748046875,7.3512372970581055,0.0,0.0,0.0,0.0,10.159947970118209,66.81763135551338,25.525651861784848,21.139313045000677,34.346083886719136,89.92076479019747,210.73242270350096,760.9391611327967,0.0,7.030965464339731,15.968142106854772,3.0830236844757857,71.71220394405286,90.00000000000024
2014-05-13,0,3.398652378571568,-76.69090943956695,3465.607177734375,26.528188705444336,0.0,0.0,0.0,0.0,4444.758906118275,8633.199203242853,13.999627540735712,9.769538110239335,3.640175434282512,31.950309006569324,129.97942523299886,595.015449637492,2.0,6.250006534346204,20.461126462230464,3.6023871683128186,59.790011299366725,82.71380697272413
2018-07-15,0,3.3792188586618312,-76.67947364101474,3072.41259765625,27.419471740722656,1.0,3.0,4.0,8.0,3954.1583381033793,9326.489255364102,13.80039800488041,10.543720378162563,8.538227457556689,23.016617493043935,87.70912052525546,946.5535254256491,1.5994526020981137,6.580244922397573,17.618944779618506,2.937353612894627,71.9556852751706,88.14461069756341
2018-02-11,0,3.356528001953744,-76.65578162279944,2519.20458984375,30.218965530395508,1.0,3.0,4.0,8.0,1919.179579248396,7470.359975819356,14.75424092914169,12.580148404688655,24.46079219076089,49.93189273495662,122.95964325638889,637.680821926226,0.2499576512784919,6.520566076852421,8.860080121269581,1.5879106350828576,87.29081915006284,95.59702441413063
2016-07-08,0,3.365030652345714,-76.58561277679021,1312.978271484375,29.060161590576172,5.0,1.0,2.0,8.0,613.8079598001788,1869.1889371633808,25.543378209648402,21.89775913846077,0.0,0.0,17.315333508154218,54.571770500754155,20.294482577771475,9.753988472591436,17.868405344493148,3.5225838490803008,61.81991592099228,80.91930753164112
2017-09-23,0,3.4881596861753983,-76.60000169630675,1435.765869140625,38.54001235961914,5.0,1.0,2.0,8.0,258.35275778493406,258.35275778493406,24.08165581025954,19.869832660350433,11.439575487261639,18.681419028612414,49.07790279073176,210.77325312917637,0.1184459935266899,11.69218867039977,19.80972264429056,3.6934126217628496,64.3553085074705,82.35532525250571
2023-11-30,0,3.362140276349926,-76.64253313008729,2048.793212890625,31.005348205566406,1.0,3.0,4.0,8.0,419.86262663744606,6163.592668151723,19.687021208729746,16.124403846026258,10.231057262189074,34.126856681322465,114.6635477306566,855.2796127587393,3.2304442133699376,8.298197262987124,19.27351830051489,3.2834741905884073,76.60427058633509,91.25331300872841
2024-04-12,0,3.405442259746269,-76.64695165539514,2503.734619140625,23.591604232788086,1.0,3.0,4.0,8.0,1699.5454312527802,4704.68265043744,19.77776851768274,15.62599842628148,1.6514579008279269,7.09722083359118,101.10395877269579,613.0979709641026,4.655826865489981,8.005767555179064,24.37824244969317,4.4897438035743065,64.02678329425545,80.76850449414007
2021-04-20,0,3.36441244662277,-76.65050434666307,2491.04931640625,37.576011657714844,1.0,3.0,4.0,8.0,877.3191857072221,7084.3634196839375,17.289762625164773,13.731693093273234,29.87278711944126,126.43488645138754,228.9571001260678,978.002009084779,0.1761429205068974,7.936789033469131,19.970015777429637,3.447930858737802,83.75867042486088,91.89446561232245
2013-03-01,0,3.4691649180041773,-76.59269728725887,1498.9173583984375,8.474864959716797,1.0,3.0,4.0,8.0,58.66541609826606,292.333619923458,22.824672439309,19.807267896008923,12.699999999999998,16.1,39.999999999999986,270.99999999999994,0.0,7.599999999999999,15.76,3.06759092369683,72.49508577242456,86.04423348849166
2012-06-27,0,3.44405514674561,-76.67968814947342,2237.033203125,8.790011405944824,1.0,3.0,4.0,8.0,1087.6790438390403,4843.075560308995,19.498026743848637,15.276155640689147,11.354740107346856,36.023679753584894,83.68486470295714,296.9269847907653,1.2187110315949212,6.5828066547392385,19.71280249810936,3.5071062369577244,60.17700054816807,84.38538176881822
2013-10-25,0,3.4300259583934816,-76.64715033682788,1976.182861328125,28.002492904663086,1.0,3.0,4.0,8.0,156.2595843652499,2964.9081120129404,20.35124023237466,17.523738212323114,3.070471220156102,19.44249816638609,69.30469719378122,388.6753184917353,1.5284966317212536,8.222797305377004,11.316112185593308,2.2013202267859024,71.59843566700717,85.99791649913753
2019-10-06,0,3.4436764330390366,-76.49518609473131,952.8533935546875,1.2424918413162231,0.0,0.0,0.0,0.0,17.32967548878677,24.271926074708507,25.294510036872758,21.276127871677584,5.018382165195119,30.07352866078022,115.27721020051061,510.81810704743896,1.4367643303903916,7.55058853568777,21.111029299117064,4.004941146431211,69.0,85.31029299117108
2014-02-10,0,3.3432911798217253,-76.49471910913307,957.4080200195312,1.551594853401184,5.0,1.0,2.0,8.0,1667.8154702601576,1998.8034386720033,25.532614909986204,21.03261490998621,4.852915004133568,13.904056354863279,25.718492091331047,193.95803754385275,9.536705614261964,7.946329438573805,14.797341122852394,2.8974429324635116,66.43291179821745,83.4329117982174
2025-03-13,0,3.4394138287574254,-76.59428036848331,1572.977294921875,30.529312133789062,1.0,3.0,4.0,8.0,65.93585083221885,78.35278335562286,23.74379022775703,18.89947072209349,5.922752201300404,44.001584589689074,94.56759478118218,574.1095358408379,1.8856073696663316,8.447215495130163,21.946829986916978,4.134769566908159,64.93958792789684,82.83464697309309
2019-01-25,0,3.3609434648288574,-76.50522325680984,956.26953125,1.579651117324829,5.0,1.0,1.0,7.0,275.6146124381077,275.6146124381077,26.527478360161226,21.95038198130651,12.624380187896449,34.311274145689225,89.42110435339701,335.4191153401476,0.38356422847340566,8.951965051516634,19.864370441460025,3.7918441640662772,71.66919052258874,86.60943464828858
2023-03-22,0,3.3328969333310274,-76.5580011631513,1098.057861328125,8.895054817199707,1.0,3.0,4.0,8.0,721.8244836513112,836.1352228168635,25.328765021037192,20.710085852557192,9.20325464379716,21.104844812800806,88.40988511562905,523.9709457021991,0.9165744771432537,8.459883921354374,19.776230267327715,3.6631362185700334,69.2565407859521,85.06350574010027
2023-08-14,0,3.3607866897604595,-76.60436211616796,1619.3123779296875,16.362876892089844,1.0,3.0,4.0,8.0,902.4837214951959,2304.1398668188604,23.313692735423132,18.360758451918013,4.512047507331352,18.566260983717854,24.37420662213899,80.10903077027807,14.832407472948413,10.50991211702268,21.950947137696325,4.035265650811479,59.709276343848614,82.2732871345398
2011-04-17,0,3.468174985507072,-76.52701399990796,973.64892578125,3.266310214996338,0.0,0.0,0.0,0.0,11.542992120719243,193.7718325142283,24.146720476194467,20.48938989160779,2.8,15.699999999999978,115.9,351.7,4.0,6.400000000000001,14.57,2.798847443708308,68.91402790614168,85.48733375200848
2012-01-21,0,3.36061138322433,-76.52374763090444,969.3779296875,4.240007400512695,5.0,1.0,1.0,7.0,40.3938700848019,40.3938700848019,23.932757260198574,20.96026714918821,1.784891065794642,20.50646512504909,36.600702585611586,298.0922344228582,1.3938861677566976,7.51816585032701,15.298165850327008,2.9330924164233094,71.31854275937661,83.1746050836347
2024-09-20,0,3.3080446686454206,-76.55972875449386,1023.5166015625,13.503318786621094,3.0,2.0,3.0,8.0,818.9928578885168,2001.4401565199723,29.21953271708353,22.972898327045968,13.921446066377062,24.74420661616729,31.587235931432073,248.51202921876597,24.317280025813037,13.085173977073307,24.67455375875156,4.777083152165341,48.22177092027416,77.94748367573423
2012-01-04,0,3.4129968355650355,-76.66422190730768,2262.89013671875,26.3214054107666,1.0,3.0,4.0,8.0,1159.3508607300073,5536.855661384321,17.766768321743804,15.03688690125571,41.294452317308135,136.12646932269374,162.47461187153536,568.801081194229,0.0,6.549553351153722,11.498782344038721,2.0911481312490423,77.21343651254544,89.72568722997183
2026-05-28,0,3.4208584204695716,-76.48849047623231,950.6213989257812,0.4500966966152191,0.0,0.0,0.0,0.0,0.05952503958509515,104.9023154614287,26.906249312321435,22.927107732791043,25.565061089946536,41.82093588392811,104.53585085515786,581.1789444219447,2.9641598288167825e-13,10.253991056712753,18.958283159060755,3.7016566318121478,70.20858420469568,87.41716840939141
2021-12-08,0,3.3485307130335413,-76.5527624857686,1091.7872314453125,5.839959621429443,0.0,0.0,0.0,0.0,162.5931097702377,162.5931097702377,25.1646971635087,20.882997937606895,10.721750924450644,36.70141331112651,105.34158570449138,673.4439517809544,2.940698333601996,9.251227134264894,18.765612395931818,3.409331272076657,72.29255806694987,87.78273585848709
2010-11-02,0,3.3544685300284374,-76.55952142263408,1101.688232421875,6.006285667419434,2.0,3.0,4.0,9.0,56.16527714072843,597.90994434529,24.160543532704303,20.69240760548057,3.4757273288909354,47.97366418301438,267.6635101467681,455.4320401752057,1.0,8.654468530028437,15.882284658155404,3.0154446203904333,71.59787995315952,86.29415203161327
2012-08-01,0,3.437341208011293,-76.70266108714203,2783.91015625,31.779979705810547,1.0,3.0,4.0,8.0,3729.3558939310474,7501.342247872606,16.503821391566994,12.829138975544407,11.0,53.599999999999994,89.10000000000001,307.0,0.0,4.9,14.57,2.693353020028233,64.12023624033878,84.49364832045173
2013-10-29,0,3.3431236447081583,-76.49014980700392,953.8665771484375,0.8365487456321716,5.0,1.0,2.0,8.0,1169.0010596050581,2271.886111842263,23.86772169073557,20.91271084840086,6.984381776459208,39.3280262741566,48.06533653329878,141.94069475126705,4.981344870428909,7.244989157665268,9.32239912419478,1.8720043369338897,72.58741868248981,84.43123644708183
2018-09-09,0,3.425668381427974,-76.55545880753522,1057.9449462890625,24.716745376586914,0.0,0.0,0.0,0.0,32.2268400780952,347.1136832907007,25.79274083534755,21.522239376208766,8.120398239705562,31.126828172123084,112.41327845785464,406.9517126845956,2.0280237507911996,8.912602457130005,21.915308441826333,4.1148470066760074,64.55009870118062,82.45056580568759
2016-07-21,0,3.473045806301804,-76.53882634546488,1208.568115234375,18.086671829223633,1.0,3.0,4.0,8.0,64.77614811485017,64.77614811485017,24.020082503199582,20.06155740223422,0.2,4.300000000000036,40.39999999999998,106.19999999999997,5.0,7.2,12.86,2.5617961745619193,66.9999017105901,83.23744303533388
2021-11-14,0,3.48204514147155,-76.5663166918414,1298.507568359375,18.56966209411621,1.0,3.0,4.0,8.0,64.11600903226284,1378.362074229965,23.69853948501496,19.527101022306603,5.3737634689065334,63.16434199637572,124.9277589584091,537.3800682530849,0.8809293179912859,8.46244909373453,20.233446548281087,3.7392808003890736,70.1566649712256,86.34671280126813
2026-04-07,0,3.4149743478381276,-76.60303261757109,1667.52783203125,14.395893096923828,1.0,3.0,4.0,8.0,268.08180338351815,1494.998822020369,22.46782916465557,18.894068308033177,2.8503171537960217,27.721127188501868,71.94874851485031,229.6684973871327,2.5201569739556176,7.176274162204482,16.024895625779838,3.0939583806305047,70.97429971788559,85.10237376800467
2025-07-16,0,3.3856257342395497,-76.57796979756017,1200.4129638671875,20.235347747802734,5.0,1.0,2.0,8.0,261.689752271635,261.689752271635,26.999052451672455,21.90601082524432,1.485073425705501,8.993075723288174,57.04919974465911,300.51472563755635,18.929203744955412,9.216461298292506,22.447603892607997,4.286092974615983,55.73332574530352,74.94100312400435
2011-07-23,0,3.3820097309045427,-76.48620998094881,948.0993041992188,0.6465003490447998,0.0,0.0,0.0,0.0,1226.5420891377005,1226.5420891377005,26.354794508846968,21.928862625178812,0.0,0.0,5.3025935851771155,96.94100684950374,8.0,7.3978929600500285,15.504878363693214,3.2049756727386374,57.64019461809126,77.00000000000027
